x_value,y_value1,y_value2,y_value3
212,293.65,1847.84,15.61
213,293.65,1847.84,15.61
214,293.65,1847.84,15.61
215,293.65,1847.84,15.61
216,293.65,1847.84,15.61
217,293.65,1847.84,15.61
218,293.65,1847.84,15.61
219,293.65,1847.84,15.61
220,293.65,1847.84,15.61
221,293.65,1847.84,15.61
222,293.65,1847.84,15.61
223,293.65,1847.84,15.61
224,293.65,1847.84,15.61
225,293.65,1847.84,15.61
226,293.65,1847.84,15.61
227,293.65,1847.84,15.61
228,293.65,1847.84,15.61
229,293.65,1847.84,15.61
230,293.65,1847.84,15.61
231,293.65,1847.84,15.61
232,293.65,1847.84,15.61
233,293.65,1847.84,15.61
234,293.65,1847.84,15.61
235,293.65,1847.84,15.61
236,293.65,1847.84,15.61
237,293.65,1847.84,15.61
238,293.65,1847.84,15.61
239,293.65,1847.84,15.61
240,293.65,1847.84,15.61
241,293.65,1847.84,15.61
242,293.65,1847.84,15.61
243,293.65,1847.84,15.61
244,293.65,1847.84,15.61
245,293.65,1847.84,15.61
246,293.65,1847.84,15.61
247,293.65,1847.84,15.61
248,293.65,1847.84,15.61
249,293.65,1847.84,15.61
250,293.65,1847.84,15.61
251,293.65,1847.84,15.61
252,293.65,1847.84,15.61
253,293.65,1847.84,15.61
254,293.65,1847.84,15.61
255,293.65,1847.84,15.61
256,293.65,1847.84,15.61
257,293.65,1847.84,15.61
